Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP,ERA,WHIP,SO9,IF/FB,GO/AO
1995,28,901,28.6,4.85,4034,38.85,34.35,4.85,9.17,6.24,1.72,0.20,1.01,4.57,0.73,0.31,3.53,6.30,0.267,0.338,0.417,0.755,14.33,0.78,0.30,0.37,0.29,0.27,27.33,4.45,1.421,6.4,0.162,1.186
1994,28,782,28.7,4.92,3200,38.90,34.46,4.92,9.29,6.25,1.79,0.22,1.03,4.64,0.71,0.32,3.48,6.18,0.270,0.339,0.424,0.763,14.62,0.76,0.27,0.38,0.31,0.32,27.56,4.50,1.430,6.2,0.146,1.151
1993,28,900,28.4,4.60,4538,38.47,34.15,4.60,9.05,6.31,1.64,0.21,0.89,4.32,0.72,0.37,3.33,5.80,0.265,0.332,0.403,0.736,13.77,0.76,0.26,0.40,0.32,0.33,27.78,4.18,1.387,5.8,0.152,1.121
1992,26,806,28.4,4.12,4212,38.12,33.93,4.12,8.68,6.20,1.56,0.20,0.72,3.87,0.77,0.38,3.25,5.59,0.256,0.322,0.377,0.700,12.80,0.74,0.23,0.40,0.31,0.31,27.93,3.74,1.328,5.6,0.156,1.083
1991,26,816,28.4,4.31,4208,38.20,33.98,4.31,8.69,6.14,1.54,0.21,0.80,4.05,0.74,0.37,3.32,5.80,0.256,0.323,0.385,0.708,13.07,0.72,0.22,0.39,0.30,0.29,27.68,3.91,1.338,5.8,0.163,1.155
1990,26,809,28.4,4.26,4210,38.08,33.91,4.26,8.75,6.20,1.55,0.21,0.79,3.99,0.78,0.36,3.29,5.67,0.258,0.325,0.385,0.710,13.07,0.73,0.20,0.37,0.30,0.33,27.75,3.85,1.349,5.7,0.192,1.086
1989,26,797,28.5,4.13,4212,37.99,33.91,4.13,8.62,6.18,1.50,0.21,0.73,3.85,0.74,0.34,3.21,5.61,0.254,0.320,0.375,0.695,12.72,0.73,0.19,0.39,0.29,0.34,27.86,3.70,1.321,5.6,0.183,1.104
1988,26,769,28.3,4.14,4200,37.95,33.94,4.14,8.63,6.15,1.52,0.20,0.76,3.86,0.79,0.34,3.09,5.56,0.254,0.318,0.378,0.696,12.82,0.73,0.22,0.39,0.30,0.33,27.92,3.72,1.307,5.6,0.409,1.119
1987,26,796,28.3,4.72,4210,38.46,34.23,4.72,9.00,6.12,1.61,0.21,1.06,4.44,0.85,0.36,3.42,5.96,0.263,0.331,0.415,0.747,14.22,0.74,0.20,0.35,0.26,0.31,27.47,4.28,1.391,6.0,,1.205
1986,26,771,28.7,4.41,4206,38.24,34.02,4.41,8.77,6.11,1.55,0.20,0.91,4.14,0.79,0.39,3.38,5.87,0.258,0.326,0.395,0.721,13.44,0.74,0.19,0.36,0.28,0.31,27.52,3.96,1.357,5.9,,1.146
1985,26,750,28.8,4.33,4206,38.12,34.02,4.33,8.74,6.12,1.53,0.23,0.86,4.07,0.74,0.34,3.29,5.34,0.257,0.323,0.391,0.714,13.30,0.78,0.17,0.37,0.27,0.32,28.09,3.89,1.344,5.4,,1.187
1984,26,762,28.6,4.26,4210,38.14,34.16,4.26,8.88,6.40,1.48,0.23,0.77,3.99,0.72,0.36,3.16,5.34,0.260,0.323,0.385,0.708,13.14,0.76,0.16,0.34,0.31,0.30,28.36,3.81,1.345,5.4,,1.136
1983,26,782,28.7,4.31,4218,38.08,34.03,4.31,8.88,6.33,1.53,0.24,0.78,4.05,0.79,0.38,3.20,5.15,0.261,0.325,0.389,0.714,13.25,0.78,0.17,0.37,0.30,0.33,28.40,3.86,1.350,5.2,,1.14
1982,26,743,28.7,4.30,4214,38.23,34.21,4.30,8.93,6.40,1.50,0.23,0.80,4.04,0.75,0.38,3.16,5.04,0.261,0.324,0.389,0.713,13.30,0.75,0.16,0.41,0.29,0.31,28.66,3.85,1.345,5.0,,1.186
1981,26,729,28.6,4.00,2788,37.98,33.88,4.00,8.66,6.35,1.43,0.24,0.64,3.75,0.72,0.39,3.18,4.75,0.256,0.320,0.369,0.689,12.49,0.79,0.17,0.45,0.30,0.32,28.79,3.58,1.316,4.7,,1.214
1980,26,760,28.2,4.29,4210,38.29,34.24,4.29,9.06,6.56,1.51,0.26,0.73,4.02,0.78,0.38,3.13,4.80,0.265,0.326,0.388,0.714,13.28,0.80,0.16,0.45,0.31,0.34,29.02,3.83,1.356,4.8,,1.179
1979,26,723,28.0,4.46,4196,38.22,34.03,4.46,9.04,6.44,1.53,0.25,0.82,4.18,0.71,0.38,3.24,4.77,0.265,0.330,0.397,0.727,13.53,0.79,0.18,0.45,0.31,0.33,28.75,3.99,1.374,4.8,,1.15
1978,26,741,27.7,4.10,4204,37.87,33.67,4.10,8.68,6.27,1.47,0.24,0.70,3.83,0.71,0.38,3.23,4.77,0.258,0.323,0.379,0.702,12.75,0.73,0.18,0.47,0.30,0.32,28.50,3.68,1.335,4.8,,1.14
1977,26,738,27.4,4.47,4206,38.41,34.23,4.47,9.04,6.36,1.53,0.28,0.87,4.18,0.72,0.42,3.27,5.16,0.264,0.329,0.401,0.730,13.73,0.75,0.19,0.42,0.29,0.31,28.49,3.99,1.372,5.2,,1.198
1976,24,706,27.6,3.99,3878,38.06,33.92,3.99,8.66,6.48,1.35,0.25,0.58,3.70,0.79,0.40,3.20,4.83,0.255,0.320,0.361,0.681,12.24,0.75,0.18,0.46,0.31,0.30,28.82,3.51,1.317,4.8,,1.141
1975,24,726,27.3,4.21,3868,38.42,33.99,4.21,8.75,6.41,1.41,0.23,0.70,3.92,0.65,0.35,3.46,4.98,0.258,0.327,0.374,0.701,12.71,0.78,0.20,0.48,0.28,0.35,28.59,3.70,1.361,5.0,,1.167
1974,24,741,27.4,4.12,3890,38.27,34.00,4.12,8.73,6.49,1.34,0.22,0.68,3.82,0.64,0.36,3.33,5.01,0.257,0.324,0.369,0.693,12.55,0.79,0.20,0.45,0.28,0.35,28.59,3.62,1.343,5.0,,1.127
1973,24,710,27.7,4.21,3886,38.29,34.06,4.21,8.75,6.41,1.34,0.20,0.80,3.93,0.52,0.31,3.37,5.24,0.257,0.325,0.379,0.704,12.90,0.81,0.19,0.40,0.26,0.35,28.28,3.74,1.351,5.3,,1.186
1972,24,824,27.5,3.69,3718,37.65,33.57,3.69,8.19,6.06,1.25,0.20,0.68,3.43,0.49,0.30,3.15,5.57,0.244,0.311,0.354,0.664,11.88,0.75,0.20,0.47,0.24,0.37,27.56,3.26,1.260,5.6,,1.2
1971,24,828,27.6,3.89,3876,37.85,33.68,3.89,8.40,6.18,1.27,0.21,0.74,3.63,0.46,0.27,3.23,5.41,0.249,0.317,0.365,0.682,12.30,0.80,0.21,0.46,0.25,0.36,27.78,3.46,1.297,5.4,,1.195
1970,24,849,27.6,4.34,3888,38.41,33.99,4.34,8.63,6.16,1.35,0.24,0.88,4.05,0.49,0.28,3.53,5.75,0.254,0.326,0.385,0.711,13.10,0.78,0.21,0.42,0.25,0.38,27.61,3.88,1.356,5.8,,1.172
1969,24,849,27.4,4.07,3892,38.08,33.73,4.07,8.37,6.11,1.24,0.22,0.80,3.77,0.48,0.29,3.45,5.77,0.248,0.320,0.369,0.689,12.46,0.75,0.23,0.43,0.23,0.37,27.39,3.61,1.319,5.8,,1.19
1968,20,676,27.6,3.42,3250,37.18,33.42,3.42,7.91,5.90,1.19,0.21,0.61,3.17,0.47,0.29,2.82,5.89,0.237,0.299,0.340,0.639,11.37,0.68,0.24,0.46,0.23,0.38,27.15,2.98,1.193,5.9,,1.185
1967,20,718,27.4,3.77,3240,37.61,33.71,3.77,8.17,5.96,1.26,0.24,0.71,3.48,0.42,0.29,2.98,5.99,0.242,0.306,0.357,0.664,12.05,0.69,0.23,0.46,0.23,0.40,27.24,3.30,1.238,6.0,,1.22
1966,20,714,27.3,3.99,3230,37.68,33.89,3.99,8.42,6.04,1.28,0.25,0.85,3.71,0.45,0.29,2.89,5.82,0.249,0.310,0.376,0.686,12.75,0.73,0.21,0.45,0.23,0.34,27.45,3.52,1.258,5.8,,1.184
