Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
1980,26,760,28.2,4.29,4210,161210,144160,18053,38144,27636,6345,1076,3087,16928,3294,1610,13190,20212,0.265,0.326,0.388,0.714,55902,3362,657,1883,1296,1435,122157
1979,26,723,28,4.46,4196,160378,142792,18713,37911,26997,6415,1066,3433,17558,2983,1598,13601,20035,0.265,0.33,0.397,0.727,56757,3326,754,1896,1314,1366,120638
1978,26,741,27.7,4.1,4204,159192,141567,17251,36508,26346,6186,1020,2956,16098,3004,1617,13566,20058,0.258,0.323,0.379,0.702,53602,3076,772,1986,1274,1338,119827
1977,26,738,27.4,4.47,4206,161547,143975,18803,38037,26782,6441,1170,3644,17596,3017,1779,13757,21722,0.264,0.329,0.401,0.73,57750,3139,791,1764,1231,1297,119840
1976,24,706,27.6,3.99,3878,147603,131525,15492,33598,25157,5240,966,2235,14363,3054,1544,12391,18745,0.255,0.32,0.361,0.681,47475,2910,684,1793,1183,1156,111728
1975,24,726,27.4,4.21,3868,148623,131473,16295,33863,24835,5443,887,2698,15153,2524,1369,13402,19280,0.258,0.327,0.374,0.701,49174,3014,761,1873,1087,1338,110582
1974,24,741,27.4,4.12,3890,148856,132256,16046,33969,25267,5206,847,2649,14858,2488,1383,12963,19495,0.257,0.324,0.369,0.693,48816,3083,774,1734,1104,1353,111216
1973,24,710,27.7,4.21,3886,148795,132363,16376,34010,24894,5224,790,3102,15254,2034,1213,13100,20358,0.257,0.325,0.379,0.704,50120,3129,755,1550,1009,1357,109912
1972,24,824,27.5,3.69,3718,139975,124828,13706,30434,22502,4652,746,2534,12750,1807,1105,11727,20718,0.244,0.311,0.354,0.664,44180,2797,751,1758,883,1378,102459
1971,24,828,27.6,3.89,3876,146715,130544,15073,32547,23945,4931,808,2863,14077,1765,1039,12536,20956,0.249,0.317,0.365,0.682,47683,3091,821,1802,987,1396,107712
1970,24,849,27.6,4.34,3888,149343,132140,16880,33555,23964,5235,927,3429,15762,1908,1078,13727,22374,0.254,0.326,0.385,0.711,50931,3023,825,1630,990,1464,107327
1969,24,849,27.4,4.07,3892,148214,131287,15850,32581,23773,4840,849,3119,14662,1850,1118,13429,22473,0.248,0.32,0.369,0.689,48476,2900,882,1669,914,1436,106609
1968,20,676,27.6,3.42,3250,120833,108622,11109,25710,19149,3869,697,1995,10308,1515,931,9156,19143,0.237,0.299,0.34,0.639,36958,2217,778,1507,753,1223,88237
1967,20,718,27.4,3.77,3240,121858,109205,12210,26464,19291,4082,792,2299,11264,1373,940,9665,19413,0.242,0.306,0.357,0.664,39027,2245,751,1480,738,1295,88231
1966,20,714,27.3,3.99,3230,121703,109467,12900,27207,19524,4120,820,2743,11998,1455,926,9331,18805,0.249,0.31,0.376,0.686,41196,2355,682,1455,742,1088,88661
1965,20,702,27.3,3.99,3246,122774,109738,12946,26952,19278,4199,787,2688,12011,1449,784,10036,19283,0.246,0.311,0.372,0.683,40789,2365,720,1488,766,1130,88533
1964,20,700,27.4,4.04,3252,123010,110464,13124,27669,19877,4270,760,2762,12233,1176,719,9621,19212,0.25,0.313,0.378,0.69,41745,2394,694,1462,739,1015,89229
1963,20,695,27.6,3.95,3238,122377,109814,12780,27043,19450,4098,791,2704,11903,1236,763,9591,18773,0.246,0.309,0.372,0.681,40835,2256,714,1448,769,933,89106
1962,20,702,27.9,4.46,3242,124575,110688,14461,28521,20354,4313,853,3001,13546,1348,701,10936,17567,0.258,0.326,0.393,0.719,43543,2487,709,1361,846,818,90966
1961,18,620,28,4.53,2860,109593,97032,12942,25066,17607,3975,754,2730,12061,1046,599,9897,14947,0.258,0.328,0.399,0.727,38739,2232,573,1305,761,732,80116
1960,16,575,28.2,4.31,2472,94814,84014,10664,21434,15206,3442,658,2128,9968,923,547,8384,12815,0.255,0.324,0.388,0.712,32576,1914,488,1193,692,729,69763
1959,16,571,28.5,4.38,2476,94757,84294,10853,21636,15317,3478,591,2250,10175,853,506,8184,12604,0.257,0.324,0.392,0.716,33046,1837,496,1127,616,707,70056
1958,16,580,28.4,4.28,2470,94170,83827,10578,21621,15334,3392,655,2240,9955,741,516,8127,12225,0.258,0.325,0.394,0.719,33043,2062,499,1046,644,679,70006
1957,16,563,28.5,4.31,2470,95422,84906,10636,21865,15595,3396,672,2202,10023,767,558,8167,11949,0.258,0.324,0.391,0.715,33211,1972,511,1115,687,740,71442
1956,16,552,28.3,4.45,2478,95268,83856,11031,21653,15295,3339,725,2294,10330,719,495,8997,11505,0.258,0.331,0.397,0.729,33324,1984,481,1253,644,783,70701
1955,16,599,28.3,4.48,2468,95053,83590,11068,21610,15435,3251,700,2224,10381,694,536,9044,10804,0.259,0.332,0.394,0.726,32933,1940,506,1187,698,722,71260
1954,16,536,28.2,4.38,2472,95585,83936,10827,21908,15727,3455,789,1937,10168,695,527,9032,10215,0.261,0.333,0.39,0.723,32752,1959,441,1332,795,759,72579
1953,16,534,28.4,4.61,2480,95454,84997,11426,22459,16045,3593,745,2076,10713,668,520,8682,10213,0.264,0.336,0.397,0.733,33770,2029,487,1245,,581,72708
1952,16,556,28.6,4.18,2478,94848,84195,10349,21272,15506,3388,677,1701,9671,771,628,8777,10380,0.253,0.327,0.37,0.696,31117,1966,482,1354,,705,72114
1951,16,543,28.7,4.55,2478,96041,85065,11268,22191,16030,3582,716,1863,10524,866,604,9244,9335,0.261,0.336,0.386,0.722,32794,2146,449,1240,,528,73867
1950,16,530,28.3,4.85,2476,96498,84823,12013,22559,15979,3714,793,2073,11269,650,524,9955,9554,0.266,0.346,0.402,0.748,34078,2226,436,1249,,551,73196
1949,16,532,28.5,4.61,2480,96236,84380,11426,22168,16101,3602,761,1704,10642,730,612,10027,8951,0.263,0.344,0.384,0.728,32404,2132,375,1408,,510,73725
1948,28,835,28.4,4.63,2900,111867,98670,13435,26010,19001,4289,1036,1684,12351,1101,609,10986,9016,0.264,0.34,0.379,0.719,37423,,455,1684,,681,87970
1947,28,850,28.9,4.51,2980,114195,101072,13434,26526,19511,4261,1020,1734,12334,1130,632,10857,9157,0.262,0.337,0.376,0.713,38029,,457,1766,,914,90181
1946,28,953,29.2,4.17,2956,112929,100155,12317,25731,19247,4145,978,1361,11264,1167,706,10346,9698,0.257,0.329,0.359,0.688,35915,,419,1949,,773,89096
1945,28,869,29.7,4.29,2882,110770,98794,12375,25786,19692,4021,954,1119,11281,1175,691,9551,8045,0.261,0.329,0.355,0.684,35072,,433,1945,,796,89630
1944,28,849,29.4,4.27,2906,111565,99933,12402,26146,19798,4218,990,1140,11356,1126,647,9126,8186,0.262,0.326,0.358,0.684,35764,1860,441,2015,,744,90607
1943,29,829,28.8,4.13,2992,114432,102078,12350,26114,19956,4118,1021,1019,11154,1336,775,9951,8544,0.256,0.324,0.346,0.671,35331,,414,1911,0,601,92515
1942,28,811,28.1,4.17,2883,109964,98121,12018,24815,18758,3982,869,1206,11031,1193,719,9708,8325,0.253,0.322,0.348,0.67,34153,,339,1734,,643,88590
1941,28,816,27.9,4.52,2927,112570,100185,13243,26235,19164,4516,1072,1483,12119,1171,674,10156,8828,0.262,0.332,0.373,0.705,37344,1897,423,1764,,725,89874
